path,line,variable_name_or_match,radius_or_diameter,units,physical_meaning,status,downstream_outputs
run_analysis.py,179,"physical-grain model found a minimum grain diameter of 15±8 μm, so its central value is",diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,180,{minimum_to_blowout_diameter_ratio:.1f} times the nominal model blowout diameter,diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,181,(D_blow/D_min={blowout_to_minimum_diameter_ratio:.3f}). This comparison uses diameters,diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,182,consistently and illustrates why a simple blowout scale should not be identified with the,diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_analysis.py,183,observed minimum grain size.,diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_sed_analysis.py,93,"labels = {""single_mbb"": ""A: one modified blackbody"", ""two_temperature"": ""B: two temperature"", ""broad",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_sed_analysis.py,120,"""Model A is one modified blackbody (fixed λ₀=210 μm, β=1); Model B is a two-temperature sum with ord",diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
parse_debris_table_a1.py,242,"target-level contamination/binarity flags, so those fields remain blank.",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
parse_debris_table_a1.py,280,"""contamination_flag"": """",",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
parse_debris_table_a1.py,296,"""published_excess_flag"", ""upper_limit_flag"", ""contamination_flag"",",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_debris_comparison.py,56,"raise RuntimeError(f""SIMBAD block count {len(blocks)} does not match {len(targets)} Table-A1 targets",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_debris_comparison.py,312,"""passes_contamination_filter"": ""not_assessed_source_has_no_flag"",",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_debris_comparison.py,331,"""passes_contamination_filter"": ""not_assessed_source_has_no_flag"",",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_debris_comparison.py,486,"report = [""# DEBRIS fractional-luminosity validation"", """", ""## Key findings"", """", f""- The recovered ",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_archive_identification.py,131,"""schedblock_name,scan_intent,science_observation,t_min,t_max,t_exptime,pwv,""",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_archive_identification.py,168,"""schedblock_name"": row[""schedblock_name""],",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
README.md,60,"- Radiation-pressure blowout sizes are compact-grain model outputs, not observed sizes.",diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_collisional_geometry_audit.py,47,"""blowout_diameter_um"": positive_normal(rng, 1.2, 0.3, N_DRAWS, 0.1),",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_collisional_geometry_audit.py,62,"blowout_diameter_um=prior[""blowout_diameter_um""][index, None],",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_collisional_geometry_audit.py,82,"age_myr=7630.0, blowout_diameter_um=1.2, largest_body_km=100.0,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_collisional_geometry_audit.py,95,"6.0, 55.0, 0.0, prior[""stellar_mass_solar""], prior[""age_myr""], prior[""blowout_diameter_um""],",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_collisional_geometry_audit.py,115,"for parameter, spec in ((""f_obs"", ""SED posterior samples""), (""age_myr"", ""truncated Normal(7630,870);",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_collisional_geometry_audit.py,121,"for parameter in (""age_myr"", ""stellar_mass_solar"", ""blowout_diameter_um"", ""largest_body_km"", ""disrup",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
run_collisional_geometry_audit.py,140,"report = [""# Collisional geometry audit"", """", ""## Finding"", """", ""The previous broad-annulus result w",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/sed_fit.py,75,"""""""Add two modified blackbodies, each normalised at 160 micrometres.""""""",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/sed.py,13,"def modified_blackbody_emissivity(wavelength_um: float, lambda0_um: float, beta: float) -> float:",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/sed.py,21,"""""""Unnormalised F_nu shape for a modified blackbody.""""""",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/sed.py,34,"""""""Modified blackbody normalised to a dust-only 160-um flux density.""""""",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/archive_inventory.py,53,"""schedblock_name"": row[""schedblock_name""],",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/physics.py,64,def blowout_radius_microns(,diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/collisional.py,25,"blowout_diameter_um: float | np.ndarray,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/collisional.py,33,"r, width, mass, age, d_blow, d_c, qd, e, inc = np.broadcast_arrays(",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/collisional.py,34,"radius_au, fractional_width, stellar_mass_solar, age_myr, blowout_diameter_um,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/collisional.py,37,"if any(np.any(np.asarray(value) <= 0) for value in (r, width, mass, age, d_blow, d_c, qd, e, inc)):",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/collisional.py,41,diameter_ratio = d_blow * 1e-9 / d_c  # micrometres / kilometres in common units,diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/collisional.py,64,"blowout_diameter_um: float | np.ndarray,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/collisional.py,94,"blowout_diameter_um,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/collisional.py,108,"blowout_diameter_um: float | np.ndarray,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/collisional.py,129,"blowout_diameter_um, largest_body_km, disruption_energy_j_per_kg,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/collisional.py,140,"blowout_diameter_um: float | np.ndarray,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tau_ceti/collisional.py,157,"blowout_diameter_um, largest_body_km, disruption_energy_j_per_kg,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
literature/equations.md,6,"the cascade maximum `D_c` as a **diameter in km**, and the blow-out `D_bl` as a",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
literature/equations.md,9,`D_bl * 1e-9 / D_c`.,diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
literature/equations.md,36,| \((D_{bl}/D_c)^{5-3q}\) | `(D_bl_um*1e-9/D_c_km)**(5-3*q)` | Explicit unit conversion. |,diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tests/test_sed.py,1,"""""""Behavioural tests for SED likelihood terms and modified blackbodies.""""""",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tests/test_sed.py,9,"from tau_ceti.sed import censored_log_likelihood, dust_fractional_luminosity, modified_blackbody_emi",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tests/test_sed.py,14,def test_modified_blackbody_is_unity_shortward_of_break(self):,diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tests/test_sed.py,15,"self.assertEqual(modified_blackbody_emissivity(100.0, 200.0, 1.0), 1.0)",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tests/test_sed.py,17,def test_modified_blackbody_declines_longward_of_break(self):,diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tests/test_sed.py,18,"self.assertAlmostEqual(modified_blackbody_emissivity(400.0, 200.0, 1.0), 0.5)",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tests/test_collisional.py,30,"blowout_diameter_um=1.2, largest_body_km=2000.0,",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tests/test_collisional.py,42,"age_myr=7630.0, blowout_diameter_um=1.2, largest_body_km=100.0,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tests/test_collisional.py,50,"age_myr=7630.0, blowout_diameter_um=1.2, largest_body_km=100.0,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tests/test_archive_inventory.py,26,"proposal_id,target_name,member_ous_uid,group_ous_uid,asdm_uid,schedblock_name,scan_intent,science_ob",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
tests/test_archive_inventory.py,99,"self.assertEqual(rows[1][""schedblock_name""], ""tau_Ceti_a_06_7M"")",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
docs/NEXT_PHASE.md,8,"blackbody, two-component modified blackbody, and broad radial-temperature models with",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,92,"""blowout_um"": positive_normal(rng, 1.2, 0.3, N_REFERENCE, 0.1),",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,99,"6.0, 55.0, 0.0, prior[""mass""], prior[""age_myr""], prior[""blowout_um""],",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,111,"prior[""blowout_um""][s, None], prior[""dc_km""][s, None],",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,153,"generated = {key: [] for key in (""temperature_k"", ""beta"", ""e"", ""inc"", ""dc_km"", ""qd"", ""age_myr"", ""blo",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,163,"generated[""blowout_um""].append(20.0)",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,176,"generated[""mass""][i], generated[""age_myr""][i], generated[""blowout_um""][i],",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,183,"characteristic_radius_ring_fmax(generated[""rin""][i], generated[""rout""][i], generated[""surface_power""",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,187,"broad_belt_fmax_continuous(generated[""rin""][i], generated[""rout""][i], generated[""mass""][i], generate",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,231,"for key in (""age_myr"", ""mass"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc""):",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,249,"params[""age_myr""], params[""blowout_um""], params[""dc_km""], params[""qd""],",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,254,"broad_belt_fmax_continuous(params[""rin""][i], params[""rout""][i], params[""mass""][i], params[""age_myr""]",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,267,"params = {key: base[key][idx] for key in (""rin"", ""rout"", ""surface_power"", ""mass"", ""age_myr"", ""blowou",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,279,"(""blowout_um"", ""blowout diameter"", ""um""), (""dc_km"", ""largest body diameter"", ""km""), (""qd"", ""disrupti",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,297,"current = {key: ref[key][ref_idx].copy() for key in (""rin"", ""rout"", ""surface_power"", ""mass"", ""age_my",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,301,"""blowout_um"": diag[""blowout_um""][diag_idx], ""dc_km"": diag[""dc_km""][diag_idx], ""qd"": diag[""qd""][diag_",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,307,"groups = [""f"", ""age_myr"", ""mass"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc"", ""rin"", ""rout"", ""surface_p",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,321,"(""stellar_luminosity"", ""not an independent Eq.14 argument; enters only through the adopted blowout d",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,336,"(unit_dir / ""implemented_equations.md"").write_text(""""""# Implemented collisional equation\n\nBoth pat",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,337,"(unit_dir / ""dimensional_analysis.md"").write_text(""""""# Dimensional and range audit\n\nThe implementa",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,338,"write_csv(unit_dir / ""coefficient_comparison.csv"", [{""term"": ""normalisation"", ""reference_code"": ""1e-",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,358,"fmax = wyatt2007_fmax_eq14(radius, width, params[""mass""], params[""age_myr""], params[""blowout_um""], p",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,375,"fmax = wyatt2007_fmax_eq14(rc, width, params[""mass""], params[""age_myr""], params[""blowout_um""], param",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,384,"common = {""stellar_mass_solar"": float(np.median(params[""mass""])), ""age_myr"": float(np.median(params[",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,399,"for key in (""f"", ""age_myr"", ""mass"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc"", ""rin"", ""rout"", ""radius_",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,496,"groups = [""f"", ""geometry"", ""age_myr"", ""mass"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""inc"", ""width""]",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,501,"for key in (""rin"", ""rout"", ""surface_power"", ""mass"", ""age_myr"", ""blowout_um"", ""dc_km"", ""qd"", ""e"", ""in",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,511,"p[""blowout_um""], p[""dc_km""], p[""qd""], p[""e""], p[""inc""],",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,517,"base = {key: ref[key][ref_idx].copy() for key in (""f"", ""rin"", ""rout"", ""surface_power"", ""mass"", ""age_",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,518,"target = {key: diag[key][diag_idx].copy() for key in (""f"", ""rin"", ""rout"", ""surface_power"", ""mass"", """,diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,557,"""1. **Why did f/fmax increase while f decreased?** The lower luminosity alone moves the ratio downwa",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,558,"""2. **What caused the lower fmax?** The implemented Eq. 14 is shared and unit-consistent. The domina",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,573,"""The reference implementation uses Wyatt et al. (2007) Eq. 14 with r and dr in AU, age in Myr, D_c i",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,584,"(manuscript / ""replacement_text.md"").write_text(""""""# Manuscript-ready replacement text\n\n## Results",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,592,"(AUDIT / ""inventories/reference_pipeline.md"").write_text(""""""# Reference pipeline inventory\n\nEntry ",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,593,"(AUDIT / ""inventories/diagnostic_pipeline.md"").write_text(""""""# Diagnostic pipeline inventory\n\nEntr",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,594,"write_json(AUDIT / ""inventories/configuration_diff.json"", {""reference_seed"": SEED_REFERENCE, ""diagno",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,612,"write_csv(AUDIT / ""tables/unit_audit.csv"", [{""quantity"": ""age"", ""reference"": ""Myr"", ""diagnostic"": ""M",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/reconcile.py,613,"final_rows = [{""result"": ""reference_primary"", ""recommendation"": ""retain as primary"", ""reason"": ""vali",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
report/debris_fractional_luminosity_validation.md,13,"- The DEBRIS table does not supply independent photosphere errors, contamination flags, binary flags",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
report/debris_data_quality.md,28,contamination/binarity flags are absent from Table A1.** The canonical,diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
report/collisional_analysis.md,9,"`literature/equations.md` now maps Eq. 14 directly to code. The source defines `r` and `dr` in au, a",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
report/collisional_analysis.md,17,"Across binning and midpoint conventions, the largest difference for at least 100 annuli is 0.010%. T",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
report/alma_calibration.md,136,## Remaining scope and blockers,diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
report/debris_table_a1_data_dictionary.md,36,"| `contamination_flag`, `binary_flag` | Blank / unknown: the recovered table does not provide target",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
report/collisional_geometry_audit.md,9,"`literature/equations.md` now maps Eq. 14 directly to code. The source defines `r` and `dr` in au, a",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
report/collisional_geometry_audit.md,17,"Across binning and midpoint conventions, the largest difference for at least 100 annuli is 0.010%. T",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
report/sed_analysis.md,11,"Model A is one modified blackbody (fixed λ₀=210 μm, β=1); Model B is a two-temperature sum with orde",diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/literature_constraints.csv,13,"minimum_grain_diameter,15,8,micron,grain_model,Lawler et al. 2014,10.1093/mnras/stu1641,Preferred ph",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
docs/plans/2026-07-23-tau-ceti-debris-disc-design.md,16,"blowout size, and (3) generate projected synthetic images of a broad,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
